area|bedrooms|contractType|currentPhase|floor|isMarketplace|parkingSpots|price|productType|status|subwayShortestDistance|suits|towerHasElevator|lat|lng|streetType|neighborhood|taxRobberyMurder
57|2|exclusive|ready_to_move|11|1|1|499000.0|market|SOLD|2168.85|1|0|-23.4981057|-46.6454885|Rua|Casa verde|0.0
36|1|exclusive|ready_to_move|13|1|1|430000.0|market|SOLD|308.513|1|1|-23.5516732|-46.6528534|Rua|Bela vista|0.0
100|3|exclusive|ready_to_move|10|1|2|1250000.0|market|SOLD|1511.26|2|0|-23.582723|-46.617187|Rua|Chacara klabin|0.0
233|3|non_exclusive|ready_to_move|2|1|3|2900000.0|market|SOLD|924.017|3|1|-23.6241529|-46.6751668|Rua|Campo belo|0.0
138|2|exclusive|ready_to_move|5|1|1|1800000.0|market|SOLD|1834.65|1|1|-23.5792936|-46.67324|Rua|Itaim bibi|0.0
78|2|non_exclusive|ready_to_move|1|1|1|1090000.0|market|SOLD|2155.66|0|1|-23.5843751|-46.6768636|Rua|Itaim bibi|0.0
50|2|exclusive|ready_to_move|17|1|1|689000.0|market|SOLD|577.031|2|1|-23.553818|-46.65028|Rua|Bela vista|0.0
40|1|exclusive|ready_to_move|5|1|1|465000.0|market|SOLD|1589.91|1|0|-23.5232852|-46.6827043|Rua|Vila romana|0.0
60|2|exclusive|ready_to_move|2|1|1|290000.0|market|SOLD|4915.43|0|1|-23.695804|-46.6923545|Avenida|Cidade dutra|0.0
130|3|exclusive|ready_to_move|4|1|1|1300000.0|market|SOLD|459.4|1|0|-23.5351581|-46.6601647|Rua|Santa cecilia|0.0
46|1|exclusive|ready_to_move|1|1|1|470000.0|market|SOLD|826.99|0|1|-23.540706|-46.658122|Rua|Santa cecilia|0.0
72|3|exclusive|ready_to_move|6|1|1|380000.0|market|SOLD|306.161|1|0|-23.5307989|-46.5430314|Avenida|Penha|2.27
118|2|exclusive|ready_to_move|5|1|1|1060000.0|market|SOLD|1795.18|0|0|-23.5799823|-46.6750283|Rua|Itaim bibi|0.0
31|0|exclusive|ready_to_move|17|1|0|290000.0|market|SOLD|553.953|0|1|-23.58024701|-46.6439294|Rua|Vila mariana|0.0
47|2|exclusive|ready_to_move|18|1|1|280000.0|market|SOLD|5785.06|0|1|-23.6118181|-46.4601456|Rua|Sao mateus|4.55
164|3|exclusive|ready_to_move|4|1|1|960000.0|market|SOLD|362.564|0|1|-23.5660074|-46.6490432|Rua|Bela vista|0.0
60|2|exclusive|ready_to_move|12|1|1|344500.0|market|SOLD|2421.11|1|1|-23.5196528|-46.6017126|Rua|Vila guilherme|0.0
64|2|exclusive|ready_to_move|8|1|1|400000.0|market|SOLD|1791.74|1|1|-23.5176221|-46.6076526|Rua|Vila guilherme|0.0
108|3|non_exclusive|ready_to_move|5|1|2|1050000.0|market|SOLD|431.282|1|1|-23.615882|-46.6785366|Rua|Campo belo|0.0
